City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Barrow,US,2023-01-28 17:49:39,71.2906,-156.7887,-9.38,77,75,14.97
68,Koumac,NC,2023-01-28 17:49:40,-20.5667,164.2833,77.36,86,100,2.91
69,Qaanaaq,GL,2023-01-28 17:49:40,77.484,-69.3632,-3.28,59,7,9.04
70,Qax,AZ,2023-01-28 17:49:40,41.4225,46.9242,31.19,53,100,2.66
71,Hilo,US,2023-01-28 17:49:41,19.7297,-155.09,71.28,91,75,4.61
72,Ancud,CL,2023-01-28 17:48:45,-41.8697,-73.8203,64.67,68,20,9.37
73,Mae Hong Son,TH,2023-01-28 17:49:41,19.3003,97.9685,65.91,69,76,2.68
74,Kapaa,US,2023-01-28 17:49:41,22.0752,-159.319,69.19,79,0,8.05
75,Albany,US,2023-01-28 17:49:42,42.6001,-73.9662,45.36,54,37,1.01
76,Deputatskiy,RU,2023-01-28 17:49:42,69.3,139.9,-24.05,97,100,2.98
77,Port Alfred,ZA,2023-01-28 17:49:43,-33.5906,26.891,67.17,93,47,4.0
78,Ferme-Neuve,CA,2023-01-28 17:49:43,46.7001,-75.4493,21.43,80,80,12.1
79,Derzhavinsk,KZ,2023-01-28 17:49:43,51.1,66.3167,10.4,87,100,12.21
80,Cap Malheureux,MU,2023-01-28 17:49:43,-19.9842,57.6142,78.48,84,87,6.13
81,Kaitangata,NZ,2023-01-28 17:49:44,-46.2817,169.8464,50.04,91,4,3.58
82,Isparta,TR,2023-01-28 17:49:44,38.0,31.0,36.52,81,81,10.94
83,Buctzotz,MX,2023-01-28 17:49:44,21.2,-88.7833,79.84,65,58,7.87
84,Areosa,PT,2023-01-28 17:49:45,41.7178,-8.8571,49.51,64,2,17.83
85,Constitucion,CL,2023-01-28 17:49:45,-35.3333,-72.4167,72.55,49,3,13.18
86,Ravenna,IT,2023-01-28 17:49:45,44.4167,11.9833,40.89,71,53,5.48
87,Bambous Virieux,MU,2023-01-28 17:49:46,-20.3428,57.7575,78.22,94,75,3.44
88,Kavaratti,IN,2023-01-28 17:49:46,10.5669,72.642,79.84,72,4,8.84
89,Tasiilaq,GL,2023-01-28 17:49:46,65.6145,-37.6368,24.96,93,100,13.56
90,Puerto Ayora,EC,2023-01-28 17:49:46,-0.7393,-90.3518,84.16,91,54,5.99
91,Khatanga,RU,2023-01-28 17:49:47,71.9667,102.5,-26.0,90,26,8.79
92,Saldanha,ZA,2023-01-28 17:50:47,-33.0117,17.9442,69.85,75,42,33.04
93,Teahupoo,PF,2023-01-28 17:50:47,-17.8333,-149.2667,76.96,73,16,14.76
94,Rio Bueno,CL,2023-01-28 17:50:48,-40.3167,-72.9667,78.12,28,1,7.81
95,Tirumullaivasal,IN,2023-01-28 17:50:48,11.2333,79.8333,75.72,74,32,11.25
96,Svetlogorsk,BY,2023-01-28 17:50:48,52.6333,29.7333,27.46,88,100,3.0
97,Rocha,UY,2023-01-28 17:50:49,-34.4833,-54.3333,75.81,77,93,10.02
98,Mount Isa,AU,2023-01-28 17:50:49,-20.7333,139.5,76.77,73,49,5.75
99,Jamestown,US,2023-01-28 17:47:49,42.097,-79.2353,35.24,60,20,14.97
100,Parana,AR,2023-01-28 17:50:49,-31.732,-60.5238,90.5,56,46,5.48
101,Gravdal,NO,2023-01-28 17:50:50,68.1214,13.5031,36.79,65,96,30.13
102,Gua Musang,MY,2023-01-28 17:50:50,4.8823,101.9644,70.92,99,100,0.72
103,Burnie,AU,2023-01-28 17:50:50,-41.0667,145.9167,59.94,87,100,6.49
104,Cherskiy,RU,2023-01-28 17:50:51,68.75,161.3,-19.98,95,100,2.95
105,Zhuravky,UA,2023-01-28 17:50:51,45.1294,35.2183,40.77,91,71,4.07
106,Qaqortoq,GL,2023-01-28 17:50:51,60.7167,-46.0333,19.78,75,100,33.93
107,Sitka,US,2023-01-28 17:50:51,57.0531,-135.33,33.69,80,0,4.61
108,Tiksi,RU,2023-01-28 17:50:52,71.6872,128.8694,-27.63,99,100,4.79
109,Bongandanga,CD,2023-01-28 17:50:52,1.5,21.05,85.44,39,98,2.86
110,Saint-Joseph,RE,2023-01-28 17:50:52,-21.3667,55.6167,79.18,90,100,1.21
111,Japura,ID,2023-01-28 17:50:53,-0.3167,102.35,72.57,97,100,3.78
